TF	accession	% target	% background	method
NFXL1	ENCSR085DDI			method1
SAFB	ENCSR072VUO			method1
CTCF	GSE140868	40.61	38.84	method1
RAD21	GSE140868			method1
HNRNPL	ENCSR594BNR			method1
XRCC5	ENCSR506KWJ			method1
SMC3	ENCSR000EGW			method1
ZFP36	ENCSR776CYN			method1
RBM25	ENCSR791OZM			method1
CBX2	ENCSR000ATU			method1
RNF2	ENCSR820GND			method1
CBX8	ENCSR000ATW			method1
ZNF512	ENCSR591CCL			method1
NR3C1	ENCSR494UQJ			method1
BCLAF1	ENCSR492LTS			method1
ELF1	ENCSR502OEK	45.60	23.71	method1
ARHGAP35	ENCSR571BUF			method1
MLLT1	ENCSR107GRP			method1
ZNF280A	ENCSR370NFS	0.78	0.48	method1
MLLT1	ENCSR675LRO			method1
YBX1	ENCSR107RHZ			method1
SMARCA4	ENCSR643VTW			method1
ARID2	ENCSR491EBY			method1
NCOA4	ENCSR119ULQ			method1
HDAC1	ENCSR387UWP			method1
RNF2	ENCSR138FUZ			method1
E4F1	ENCSR731LHZ	1.17	0.44	method1
GABPB1	ENCSR138YYY			method1
ETV1	ENCSR277DMR	33.51	15.37	method1
GMEB1	ENCSR376RCX			method1
SRSF3	ENCSR268QIQ			method1
BMI1	ENCSR782WRO			method1
ZNF3	ENCSR195QFV	22.09	21.24	method1
KDM1A	GSE117944			method1
GFI1B	GSE117944			method1
CTNNB1	GSE117944			method1
NR2F1	ENCSR970NKQ	5.35	4.28	method1
BRD2	GSE120715			method1
BRD3	GSE120715			method1
BRD4	GSE120715			method1
PKNOX1	ENCSR115SMW			method1
ZNF316	ENCSR200JYP			method1
TFDP1	ENCSR224IKA	4.77	3.24	method1
MTA3	ENCSR180NCY			method1
USF2	GSE111469	1.41	0.52	method1
PLAG1	GSE111469	1.04	0.81	method1
MYNN	ENCSR737LTZ	0.37	0.27	method1
VEZF1	ENCSR189YMA	33.13	29.69	method1
HNRNPK	ENCSR014RCS			method1
ZNF257	ENCSR492FKD	57.83	51.01	method1
DEAF1	ENCSR387SYS			method1
RB1	ENCSR670JDQ			method1
ZNF639	ENCSR949NVY			method1
MGA	ENCSR710WLO			method1
MNT	ENCSR390VGH	19.36	16.34	method1
NRF1	ENCSR998AJK	3.50	1.59	method1
NRF1	ENCSR494TDU	3.87	1.69	method1
PHF20	ENCSR594SMP			method1
ZFP91	ENCSR898XMH			method1
TRIM28	ENCSR474CVP			method1
