TF	accession	% target	% background	method
HDAC2	ENCSR075HTM			method3
BRD9	ENCSR177XCS			method3
CTCF	GSE137216	69.33	55.34	method3
CTCF	ENCSR000AKO	69.00	54.99	method3
CTCF	GSE70764	76.13	67.15	method3
CTCFL	GSE70764	70.83	63.04	method3
CTCF	ENCSR000BPJ	70.37	54.46	method3
CTCF	ENCSR000DMA	70.66	56.49	method3
SETDB1	ENCSR000EWI			method3
RAD21	ENCSR000BKV			method3
E2F6	ENCSR000EWJ	73.60	69.05	method3
MYC	ENCSR000EGJ			method3
E2F6	ENCSR000BLI	76.17	69.90	method3
RBFOX2	ENCSR822LBD			method3
RBFOX2	GSE120104			method3
TARDBP	GSE120104			method3
PCBP2	GSE120104			method3
TAF15	GSE120104			method3
PRPF4	GSE120104			method3
SNRNP70	GSE120104			method3
RBM22	GSE120104			method3
AGO1	GSE120104			method3
HNRNPL	GSE120104			method3
HNRNPK	GSE120104			method3
RBM39	GSE120104			method3
GTF2F1	GSE120104			method3
FUS	GSE120104			method3
SRSF1	GSE120104			method3
HNRNPLL	GSE120104			method3
HNRNPUL1	GSE120104			method3
PTBP1	GSE120104			method3
XRCC5	GSE120104			method3
SAFB	GSE120104			method3
FIP1L1	GSE120104			method3
PCBP1	GSE120104			method3
SRSF4	GSE120104			method3
SRSF3	GSE120104			method3
U2AF1	GSE120104			method3
NONO	GSE120104			method3
HNRNPC	GSE120104			method3
SRSF7	GSE120104			method3
CCAR2	GSE120104			method3
SAFB2	GSE120104			method3
SRSF9	GSE120104			method3
MAX	ENCSR000EFV			method3
CTCF	GSE131349	71.92	55.80	method3
CTCF	GSE90691	81.03	59.12	method3
TARDBP	ENCSR429XTR			method3
ZNF281	GSE121133	74.95	61.81	method3
ZNF148	GSE121133			method3
RBM22	ENCSR848AOP			method3
BRD3	GSE140325			method3
BRD2	GSE140325			method3
BRD4	GSE140325			method3
HDAC1	GSE140325			method3
HDAC2	GSE140325			method3
YY1	ENCSR000BKU	34.44	24.90	method3
SRF	ENCSR000BLK	0.19	0.04	method3
CEBPB	ENCSR000BRQ	15.50	6.20	method3
NR3C1	ERP007081			method3
NFYB	GSE26439	18.66	5.49	method3
NFYA	GSE26439	6.21	1.68	method3
ERG	GSE23730	31.87	19.71	method3
TRIM28	ENCSR000BRW			method3
NR2F2	ENCSR000BRS			method3
BRD4	GSE99178			method3
BRD4	GSE138084			method3
BRD2	GSE138084			method3
BRD3	GSE138084			method3
ZFX	ENCSR920ASP			method3
PHF8	ENCSR000AQH			method3
PML	ENCSR000BQY			method3
ZNF18	GSE97661			method3
NRF1	GSE97661	8.16	2.22	method3
NFIA	GSE97661	33.65	31.00	method3
ZMYM3	GSE97661			method3
MED1	GSE97661			method3
ZNF639	GSE97661			method3
ZNF410	GSE97661			method3
FOXO3	GSE97661			method3
ZNF75A	GSE97661			method3
EZH2	GSE97661			method3
DPF1	GSE97661			method3
CTCF	GSE70482	71.40	57.44	method3
SPI1	GSE70482	1.66	0.61	method3
REST	GSE70482	1.90	0.22	method3
TBP	GSE55306			method3
GTF2F1	ENCSR377BLZ			method3
CREB1	ENCSR000BSO	14.80	5.74	method3
HNRNPLL	ENCSR112RNT			method3
NELFE	GSE112379			method3
NELFA	GSE112379			method3
SMAD5	ENCSR000FCD	5.53	4.71	method3
SIN3A	ENCSR920BLG			method3
TAF1	ENCSR000BKS	15.73	12.87	method3
CREM	ENCSR077DKV	13.77	6.78	method3
KDM4B	ENCSR642VZY			method3
SMAD1	ENCSR038DJJ			method3
HDAC1	ENCSR000AQF			method3
ZBTB7A	GSE103445	16.33	14.35	method3
E2F1	ENCSR720HUL	11.88	8.75	method3
YY1	ENCSR000BMH	40.93	25.63	method3
KDM5B	ENCSR000AQA			method3
ZKSCAN1	ENCSR882ERE	12.49	10.62	method3
GFI1B	ENCSR509GDT			method3
NEUROD1	ENCSR986CDX			method3
TBP	ENCSR000EHA			method3
ATF3	ENCSR000BNU	12.12	3.55	method3
NFYB	ENCSR000EGQ	32.01	5.24	method3
HCFC1	ENCSR000EFN			method3
ZHX1	ENCSR557RVF			method3
MBD2	ENCSR221GAN	32.23	28.73	method3
RBBP5	ENCSR000AQI			method3
MYC	ENCSR000EZV	5.81	4.39	method3
SIN3B	ENCSR887ZEN			method3
NFE2L2	ENCSR485GKE			method3
YY1	ENCSR000EWF	59.11	25.18	method3
THAP1	ENCSR000BNN			method3
JUND	ENCSR000EGN	5.95	4.31	method3
MAZ	ENCSR000EFX	79.94	72.73	method3
MAZ	ENCSR163IUV	80.31	73.21	method3
CHD2	ENCSR000EHD			method3
JUNB	ENCSR000DJY	5.55	2.60	method3
CTCF	GSE92879	74.01	55.93	method3
REST	ENCSR000BMW	0.64	0.23	method3
ZMIZ1	ENCSR000EFQ			method3
TBL1XR1	ENCSR000EGB			method3
ATF1	ENCSR159OCC	42.91	16.19	method3
EGR1	ENCSR000BNE	52.22	37.91	method3
MYC	ENCSR000DLZ	5.07	4.45	method3
TAL1	ENCSR000EHB			method3
ZBTB12	ENCSR172OSX	31.28	28.24	method3
NFE2	ENCSR000FCC	5.83	1.30	method3
ATF1	ENCSR000DNZ	42.43	16.40	method3
UBTF	ENCSR000EFZ			method3
ATF2	ENCSR869IUD	39.44	6.77	method3
JUN	ENCSR000FAH	5.77	2.26	method3
PRPF4	ENCSR220YXI			method3
CTCF	ENCSR000EGM	71.90	59.24	method3
JUN	ENCSR000EFS	3.68	2.14	method3
MYC	ENCSR000EGS	5.01	4.44	method3
CBX1	ENCSR948QLZ			method3
ATF3	ENCSR000DOG	18.01	3.61	method3
IRF1	ENCSR000EGT			method3
E2F4	ENCSR000EWL	0.42	0.28	method3
RFX5	ENCSR000EGO	9.66	6.10	method3
NRF1	ENCSR837EYC	5.64	2.22	method3
EP300	ENCSR000EGE			method3
CEBPD	ENCSR000BVY	13.33	10.05	method3
MYC	ENCSR000FAG	4.94	4.36	method3
HMGN3	ENCSR000DOB			method3
SIN3A	ENCSR000BLR			method3
ZNF639	ENCSR845BCL			method3
NFYA	ENCSR000EGR	20.64	1.78	method3
CCNT2	ENCSR000DOA			method3
GABPA	ENCSR000BLO	48.25	25.85	method3
IRF2	ENCSR376WCJ	0.58	0.08	method3
ETS1	ENCSR000BKQ	3.42	1.87	method3
ZNF384	ENCSR000EFP	25.13	22.83	method3
MXI1	ENCSR000EGZ	6.42	5.50	method3
ELF1	ENCSR000BMD	51.87	25.81	method3
BHLHE40	ENCSR000EGV	11.05	5.07	method3
SP1	ENCSR000BKO	22.28	14.27	method3
TCF7	ENCSR863KUB			method3
AGO1	ENCSR641BSL			method3
FOS	ENCSR000FAI	8.29	3.74	method3
ZBED1	ENCSR286PCG	0.44	0.20	method3
CBX5	ENCSR272JAT			method3
USF1	ENCSR000BKT	8.98	2.19	method3
MAFK	ENCSR000EGX	1.90	0.21	method3
CTCF	ENCSR000DWE	72.74	57.49	method3
RB1	ENCSR506CVF			method3
TARDBP	ENCSR353HEP			method3
SREBF1	ENCSR815ZDS	14.76	6.72	method3
MAFF	ENCSR000EGI	10.57	2.92	method3
CTCFL	ENCSR000BNK	76.39	60.42	method3
MYC	ENCSR000FAZ	6.77	4.42	method3
MYC	ENCSR000EZU	5.11	4.41	method3
CEBPB	ENCSR000EHE	17.57	5.82	method3
IKZF1	ENCSR395HWC			method3
NCOA1	ENCSR711SNW			method3
ILF3	GSE103215			method3
ZSCAN29	ENCSR175SZH	1.60	0.98	method3
ZSCAN29	ENCSR635EXI			method3
CREBBP	ENCSR000ATT			method3
NR2C2	ENCSR750LYM	12.87	8.62	method3
GABPA	ENCSR290MUH	64.60	25.25	method3
ZBTB11	ENCSR706BJO			method3
ZBTB7A	ENCSR000BME	17.95	15.43	method3
ZBTB11	ENCSR331GDC			method3
UBTF	ENCSR000EFW			method3
CBFA2T2	ENCSR699PVC			method3
GATA2	ENCSR000EWG	16.47	7.25	method3
KDM1A	ENCSR908CMW			method3
MAX	ENCSR000FAE	5.98	2.88	method3
GMEB1	ENCSR928KOR			method3
BCOR	ENCSR808AKZ			method3
MCM7	ENCSR038RGL			method3
MTA1	ENCSR807BGP			method3
GATA1	GSE107726	8.46	5.71	method3
TAL1	GSE107726			method3
GATA1	GSE132212	9.50	6.38	method3
CTCF	GSE132212	70.61	54.84	method3
TAL1	GSE132212			method3
ZNF263	ENCSR000EWN	74.00	69.04	method3
NFXL1	ENCSR085DDI			method3
SAFB	ENCSR072VUO			method3
CTCF	GSE140868	72.39	58.10	method3
RAD21	GSE140868			method3
HNRNPL	ENCSR594BNR			method3
XRCC5	ENCSR506KWJ			method3
SMC3	ENCSR000EGW			method3
ZFP36	ENCSR776CYN			method3
RBM25	ENCSR791OZM			method3
CBX2	ENCSR000ATU			method3
RNF2	ENCSR820GND			method3
CBX8	ENCSR000ATW			method3
ZNF512	ENCSR591CCL			method3
NR3C1	ENCSR494UQJ			method3
BCLAF1	ENCSR492LTS			method3
ELF1	ENCSR502OEK	66.15	26.11	method3
ARHGAP35	ENCSR571BUF			method3
MLLT1	ENCSR107GRP			method3
ZNF280A	ENCSR370NFS	5.24	0.48	method3
MLLT1	ENCSR675LRO			method3
YBX1	ENCSR107RHZ			method3
SMARCA4	ENCSR643VTW			method3
ARID2	ENCSR491EBY			method3
NCOA4	ENCSR119ULQ			method3
HDAC1	ENCSR387UWP			method3
RNF2	ENCSR138FUZ			method3
E4F1	ENCSR731LHZ	1.95	0.63	method3
GABPB1	ENCSR138YYY			method3
ETV1	ENCSR277DMR	61.09	18.73	method3
GMEB1	ENCSR376RCX			method3
SRSF3	ENCSR268QIQ			method3
BMI1	ENCSR782WRO			method3
ZNF3	ENCSR195QFV			method3
KDM1A	GSE117944			method3
GFI1B	GSE117944			method3
CTNNB1	GSE117944			method3
NR2F1	ENCSR970NKQ	8.51	4.73	method3
BRD2	GSE120715			method3
BRD3	GSE120715			method3
BRD4	GSE120715			method3
PKNOX1	ENCSR115SMW			method3
ZNF316	ENCSR200JYP			method3
TFDP1	ENCSR224IKA	6.86	4.09	method3
MTA3	ENCSR180NCY			method3
USF2	GSE111469	3.27	0.76	method3
PLAG1	GSE111469			method3
MYNN	ENCSR737LTZ	0.41	0.21	method3
VEZF1	ENCSR189YMA	39.79	35.69	method3
HNRNPK	ENCSR014RCS			method3
ZNF257	ENCSR492FKD	62.51	53.07	method3
DEAF1	ENCSR387SYS			method3
RB1	ENCSR670JDQ			method3
ZNF639	ENCSR949NVY			method3
MGA	ENCSR710WLO			method3
MNT	ENCSR390VGH	23.61	18.19	method3
NRF1	ENCSR998AJK	5.63	2.09	method3
NRF1	ENCSR494TDU	5.98	2.10	method3
PHF20	ENCSR594SMP			method3
ZFP91	ENCSR898XMH			method3
TRIM28	ENCSR474CVP			method3
ZNF24	ENCSR099NCH			method3
GATAD2A	ENCSR160QYK			method3
PCBP1	ENCSR052PTN			method3
FIP1L1	ENCSR177DNR			method3
U2AF1	ENCSR690GUG			method3
NONO	ENCSR415TXN			method3
GTF2F1	ENCSR189VXS			method3
FUS	ENCSR051DXE			method3
FOSL1	ENCSR000BMV			method3
CBX2	GSE121182			method3
CBX8	GSE121182			method3
TFDP1	ENCSR017GBO	8.31	3.93	method3
PTBP1	ENCSR948KMB			method3
RNF2	ENCSR076YPO			method3
ZNF282	ENCSR742TMU			method3
CTCF	GSE110681	71.15	53.52	method3
STAG1	ENCSR153HNT			method3
E2F3	ENCSR036QIR	0.82	0.31	method3
GATAD2B	ENCSR547LKC			method3
ELK1	ENCSR338QAC	63.08	12.35	method3
REST	ENCSR137ZMQ	0.69	0.23	method3
SOX6	ENCSR788RSW	22.05	20.70	method3
NONO	ENCSR010KFT			method3
SPI1	GSE74999	2.78	0.67	method3
NR4A1	ENCSR692RET			method3
ZNF143	ENCSR000EGP	5.69	2.38	method3
TBL1XR1	ENCSR000EGA			method3
E2F5	ENCSR709DRM	20.86	11.56	method3
RCOR1	ENCSR000EGC			method3
IRF1	GSE129380	0.78	0.13	method3
BCLAF1	ENCSR000BKH			method3
GTF2F1	ENCSR000EHC			method3
RUNX1	ENCSR588AKU			method3
WDR5	GSE115377			method3
ZNF24	ENCSR385AHH			method3
POU5F1	ENCSR364SNE			method3
KLF16	ENCSR760UVO			method3
HDAC2	ENCSR000AQG			method3
SUZ12	ENCSR412CTM			method3
TAF7	ENCSR000BNM			method3
PRMT5	ENCSR625ZVM			method3
MTA2	ENCSR411UYA			method3
RBM14	ENCSR423FCW			method3
ZBTB33	ENCSR000BKF	45.81	7.10	method3
ID3	ENCSR005NMT			method3
HDGF	ENCSR563YDA			method3
SPI1	ENCSR000BGW	2.89	0.78	method3
ATF7	ENCSR972ZBV	8.17	3.34	method3
ZNF184	ENCSR621ATC			method3
SMARCC2	ENCSR519WMW			method3
NCOR1	ENCSR798ILC			method3
CBFA2T3	ENCSR697YLJ			method3
PBX2	ENCSR263DFP			method3
MEIS2	ENCSR851BNE			method3
ZEB2	ENCSR004GKA			method3
FOSL1	ENCSR239ZLZ	13.54	10.73	method3
ZNF148	ENCSR018MSO			method3
ARID3A	ENCSR000EFY			method3
ZEB2	ENCSR322CFO			method3
TCF3	ENCSR970OJY			method3
CUX1	ENCSR000EFO	25.96	9.07	method3
KLF13	ENCSR608HVP	19.31	12.69	method3
REST	ENCSR000ATM	1.65	0.20	method3
ATF1	ENCSR091GVJ	20.39	15.95	method3
ZMYM3	ENCSR102KIN			method3
ZNF436	ENCSR335SUD	27.49	15.64	method3
MITF	ENCSR000FCB	20.38	4.43	method3
SUZ12	ENCSR000AUC			method3
KDM1A	ENCSR000ATX			method3
RBM39	ENCSR764OXF			method3
DACH1	ENCSR030TJP			method3
CEBPG	ENCSR490LWA	17.86	5.32	method3
HDAC8	ENCSR835TCD			method3
HDAC8	ENCSR000DJZ			method3
NR2F6	ENCSR707QWA			method3
NCOR1	ENCSR000ATY			method3
SMARCA4	ENCSR587OQL			method3
HOXB8	GSE121208			method3
TARDBP	ENCSR033VAZ			method3
FOXM1	ENCSR429QPP			method3
MNT	ENCSR979QYJ	29.80	18.55	method3
PBX2	ENCSR633EIC			method3
RLF	ENCSR718SDE			method3
SMAD2	ENCSR189PYJ			method3
PHF21A	ENCSR119VCX			method3
STAT5A	ENCSR000BRR	30.27	22.07	method3
PAX8	ENCSR274CGK			method3
HDAC2	ENCSR000BMG			method3
STAT1	ENCSR000EHJ	1.79	0.35	method3
GTF3C2	ENCSR000DOD			method3
SIX5	ENCSR000BNW	38.51	26.10	method3
JUN	ENCSR000EGH	11.52	2.33	method3
NSD2	ENCSR000AVE			method3
GATA1	ENCSR000EWM	7.40	4.29	method3
CHD1	ENCSR000AQD			method3
SIN3B	ENCSR657JLK			method3
ZMIZ1	ENCSR907JPB			method3
SAP30	ENCSR000AQJ			method3
EZH2	ENCSR000AQE			method3
NFIX	ENCSR574VJG	38.02	7.06	method3
TAF15	ENCSR047LSJ			method3
MITF	ENCSR797SWM	24.54	4.11	method3
USF2	ENCSR578KEN	5.25	0.60	method3
MIER1	ENCSR426MDV			method3
ZBTB5	ENCSR786OQY			method3
CC2D1A	ENCSR343IFJ			method3
HINFP	ENCSR619GFP			method3
KLF1	ENCSR550HCT	28.36	23.97	method3
NBN	ENCSR085QEV			method3
ZNF740	ENCSR737UST	84.12	58.86	method3
CHD7	ENCSR000AVD			method3
ESRRA	ENCSR486IFJ	30.25	24.43	method3
SP1	ENCSR991ELG	23.30	14.66	method3
RUNX1	ENCSR414TYY	5.80	2.91	method3
KDM1A	ENCSR360HRA			method3
TCF7L2	ENCSR888XZK			method3
SIRT6	ENCSR000AUB			method3
CDC5L	ENCSR121PFY			method3
DNMT1	ENCSR987PBI			method3
L3MBTL2	GSE28162			method3
RFX1	ENCSR041AXL	27.75	7.63	method3
ZNF12	ENCSR041YBR	78.77	72.86	method3
RFX1	ENCSR968GIB	28.71	7.39	method3
FOXK2	ENCSR508DQA			method3
TAF7	ENCSR671GFC			method3
YBX3	ENCSR567JEU			method3
ELF4	ENCSR638QHV	36.48	11.59	method3
ZNF143	GSE39263	8.44	2.49	method3
ELK1	ENCSR000EFU	65.38	12.91	method3
ZC3H11A	ENCSR000EFR			method3
CREB3L1	ENCSR109YGM	8.57	5.69	method3
RELA	ENCSR772EEN			method3
ZNF24	ENCSR117WTM			method3
FOS	ENCSR000DKB	7.04	3.55	method3
IRF1	ENCSR854MCV	1.58	0.19	method3
RBM34	ENCSR899GSH			method3
HIF1A	GSE123461	12.47	6.92	method3
EPAS1	GSE123461	5.23	0.94	method3
NR4A1	ENCSR130PDE			method3
SRF	ENCSR582IAO	0.16	0.04	method3
NFRKB	ENCSR657EOF			method3
MTA2	ENCSR113LAS			method3
ZNF165	ENCSR172XJS			method3
ARID3B	ENCSR360UHC			method3
ZNF79	ENCSR995FUM			method3
RAD21	ENCSR000FAD			method3
MEF2D	ENCSR647ZXA			method3
MEF2A	ENCSR000BNV	11.66	2.68	method3
ARNT	ENCSR613NUC	1.32	0.90	method3
NFRKB	ENCSR996ESX			method3
PHB2	ENCSR924GXX			method3
SETDB1	ENCSR000EWD			method3
PCBP2	ENCSR603REQ			method3
CHD4	ENCSR000ATL			method3
CEBPZ	ENCSR618GDK	51.34	10.89	method3
BRD4	ENCSR583ACG			method3
CDK8	GSE65138			method3
ZNF274	ENCSR000EVX	11.91	4.89	method3
ZNF583	ENCSR775EQV			method3
GTF2A2	ENCSR801RPW			method3
ATF3	ENCSR632DCH	27.85	3.81	method3
ZNF76	ENCSR257AFV	4.98	0.75	method3
NCOA1	ENCSR931HNY			method3
DIDO1	ENCSR167JBG			method3
TBX18	ENCSR385IUC			method3
CREB3	ENCSR093FKD	17.91	11.19	method3
ZNF324	ENCSR712KVZ			method3
CEBPG	ENCSR620VIC	20.67	5.53	method3
ZNF239	ENCSR606KTL			method3
HIVEP1	ENCSR947PJZ			method3
HOMEZ	ENCSR801JWB			method3
JUNB	ENCSR525VAT	16.23	2.91	method3
ATF4	ENCSR145TSJ	2.72	0.85	method3
ZNF175	ENCSR011PEI			method3
ZNF584	ENCSR149ZBI			method3
SMAD3	ENCSR376XAV			method3
ZNF589	ENCSR603XLW			method3
SHOX2	ENCSR184IQF			method3
JUN	ENCSR000EZW	15.92	2.51	method3
USF2	ENCSR359NFW	7.38	0.60	method3
TEAD1	ENCSR591ASD			method3
JUN	ENCSR000EZX	17.38	2.48	method3
RAD51	ENCSR524BUE			method3
NFE2	ENCSR000FAF	16.57	1.43	method3
ZNF318	ENCSR352BJL			method3
JUN	ENCSR000EZT	14.53	2.50	method3
FOXK2	ENCSR302AWT			method3
TAF9B	ENCSR100UQX			method3
STAT2	ENCSR000FBC	5.84	0.16	method3
JUNB	ENCSR795IYP	15.15	2.81	method3
USF2	ENCSR000EHG	9.25	0.67	method3
RREB1	ENCSR250WFW			method3
ZBTB11	ENCSR985OYK			method3
THRA	ENCSR264CZJ			method3
ETV6	ENCSR124BJR	61.64	29.63	method3
ADNP	ENCSR440VKE			method3
ARNT	ENCSR155KHM	1.63	0.94	method3
GATA2	ENCSR000DKA	14.40	7.66	method3
TAL1	ENCSR106FRG			method3
TCF12	ENCSR744WOO			method3
GATA2	ENCSR000BKM	17.80	8.41	method3
LDB1	GSE142227			method3
CBFA2T3	GSE142227			method3
STAT1	ENCSR000FAU	11.45	0.48	method3
GATA2	ENCSR257RKC	16.90	7.87	method3
STAT2	ENCSR000FAT	2.66	0.17	method3
GATA1	ENCSR000EFT	8.60	5.70	method3
AFF1	ENCSR426URK			method3
ZNF644	ENCSR729HVR			method3
KLF6	ENCSR297CGF	4.24	3.35	method3
ZNF215	ENCSR699RWG			method3
IRF9	ENCSR926KTP			method3
ZNF311	ENCSR388ZRV	45.88	41.75	method3
MAFG	ENCSR818DQV	8.41	4.00	method3
NFATC3	ENCSR670FDA	36.70	31.77	method3
HMBOX1	ENCSR757IIU	19.60	11.80	method3
IRF1	ENCSR000EGL	3.28	0.14	method3
ARNT	ENCSR669NFS			method3
STAT1	ENCSR000FAV	11.97	0.49	method3
IRF1	ENCSR000EGU	20.00	0.22	method3
IRF1	ENCSR000EGK	2.78	0.18	method3
NRF1	ENCSR000EHH	15.42	2.15	method3
ELF1	ENCSR975SSR	79.52	26.76	method3
HDAC6	ENCSR000ATJ			method3
TP53	GSE131484	23.26	10.62	method3
SP2	ENCSR000BNL	55.43	39.70	method3
NR4A1	ENCSR000DJW			method3
ZNF444	ENCSR164RIC	45.97	26.14	method3
HIF1A	GSE142865	15.94	6.47	method3
ZNF407	ENCSR011NOZ			method3
HDAC3	ENCSR024LKA			method3
ZNF764	ENCSR023OOE			method3
MORC2	GSE95374			method3
TASOR	GSE95374			method3
TRIM28	ENCSR000EVY			method3
ZNF445	ENCSR883UGG			method3
ZNF41	ENCSR235PYI			method3
ZNF197	ENCSR580IAO			method3
SIX5	ENCSR000BGX	45.07	26.01	method3
KAT2B	ENCSR000ATZ			method3
BCL6	ENCSR802AHH			method3
ZNF83	ENCSR257XVY			method3
ZNF134	ENCSR553NTC	26.25	22.60	method3
ZNF395	ENCSR462QZZ			method3
ZNF507	ENCSR577KQD			method3
TCFL5	ENCSR844JVU			method3
BACH1	ENCSR000EGD	24.65	3.71	method3
DDX20	ENCSR446LAV			method3
TSC22D4	ENCSR787RVK			method3
STAT1	ENCSR000EHK	4.19	0.39	method3
PTTG1	ENCSR314BBS			method3
DDX20	ENCSR382AIB			method3
PTRF	ENCSR126FZN			method3
ZNF700	ENCSR959BQO			method3
CREB5	ENCSR935PEA	17.79	7.08	method3
MCM7	ENCSR542WJU			method3
MCM2	ENCSR552PSV			method3
ZNF319	ENCSR231PDA			method3
PYGO2	ENCSR410DWC			method3
ASH1L	ENCSR115BBC			method3
ZNF740	ENCSR532EMP			method3
CBX3	ENCSR000ATV			method3
SRSF7	ENCSR222MYK			method3
ZNF408	ENCSR758PLU			method3
HNRNPUL1	ENCSR296MXW			method3
SNRNP70	ENCSR754ZHU			method3
E2F1	ENCSR563LLO	18.73	9.57	method3
NFE2	ENCSR552YGL	12.76	1.44	method3
NCOA2	ENCSR349TZO			method3
THRAP3	ENCSR871TKJ			method3
CCAR2	ENCSR598GER			method3
NCOA6	ENCSR168CEE			method3
E2F7	ENCSR171CAY	6.22	0.28	method3
ILF3	ENCSR632TJQ			method3
ZNF407	ENCSR439OCL			method3
PYGO2	ENCSR431XGJ			method3
ATRX	GSE70920			method3
BCLAF1	ENCSR792IYC			method3
MCM5	ENCSR079WHK			method3
MCM7	ENCSR068VRA			method3
TRIP13	ENCSR154EIH			method3
RBM15	ENCSR850WUE			method3
ETV6	ENCSR000FCE	68.54	28.09	method3
EP300	ENCSR000EGY			method3
SETDB1	ENCSR000AUT			method3
PATZ1	ENCSR549PVK			method3
LEF1	ENCSR832OGB			method3
ZNF830	ENCSR033NQK			method3
GTF2B	ENCSR000DOE			method3
TSHZ1	ENCSR958JPH			method3
ZNF354B	ENCSR044IXA			method3
MYBL2	ENCSR162IEM	20.57	5.01	method3
ZZZ3	ENCSR780BBJ			method3
EWSR1	ENCSR142YYA			method3
ZKSCAN8	ENCSR448UKK			method3
BACH1	ENCSR740NPG	21.97	4.93	method3
TEAD2	ENCSR635GTR	10.33	3.21	method3
NFE2L1	ENCSR632SHZ			method3
ZBTB40	ENCSR158RYZ			method3
ILK	ENCSR648INT			method3
ZNF23	ENCSR898IDK			method3
ZNF174	ENCSR056VYW			method3
ZNF133	ENCSR619UPN			method3
KLF10	ENCSR121SPB			method3
ZNF397	ENCSR508EEX			method3
ZNF696	ENCSR276RQG			method3
SMARCB1	ENCSR000EHN			method3
TOP2A	GSE79593			method3
CHAMP1	ENCSR065XVO			method3
ZNF318	ENCSR334HSW			method3
ZNF507	ENCSR598TIR			method3
ZNF766	ENCSR194IJN			method3
HDAC1	ENCSR568PGX			method3
XRCC3	ENCSR997NGQ			method3
ZKSCAN3	ENCSR199HGP	47.92	11.20	method3
CUX1	GSE92882	39.02	12.81	method3
FOXA1	ENCSR819LHG			method3
NCOA2	ENCSR803EKW			method3
CHAMP1	ENCSR315NNL			method3
ZNF830	ENCSR851XLW			method3
SIRT6	ENCSR000DOH			method3
BRCA1	ENCSR223MLH			method3
ZNF354B	ENCSR674SCQ			method3
NR3C1	ENCSR325DER			method3
FOXJ2	ENCSR847LBF			method3
KAT8	ENCSR086FZL			method3
CLOCK	ENCSR228OQM	61.69	20.88	method3
ESRRB	ENCSR264LYE			method3
HEY1	ENCSR405KTQ			method3
ZNF77	ENCSR844MAB			method3
BDP1	ENCSR000DOK			method3
ZNF253	ENCSR271RRH			method3
DLX4	ENCSR017EJY			method3
EP300	ENCSR000AQB			method3
BRF1	ENCSR000DOJ			method3
MYB	GSE124541			method3
