V1	N	db
NCOA4	217	ChIP-Atlas
NCOA6	2439	ChIP-Atlas
NCOR1	10107	ChIP-Atlas
NELFA	12943	ChIP-Atlas
NELFE	12886	ChIP-Atlas
NEUROD1	14268	ChIP-Atlas
NFATC3	7175	ChIP-Atlas
NFE2	12144	ChIP-Atlas
NFE2L1	5199	ChIP-Atlas
NFIC	12444	ChIP-Atlas
NFIX	109	ChIP-Atlas
NFRKB	4427	ChIP-Atlas
NFXL1	618	ChIP-Atlas
NFYA	10166	ChIP-Atlas
NFYB	9192	ChIP-Atlas
NONO	10814	ChIP-Atlas
NR2C1	6037	ChIP-Atlas
NR2C2	10635	ChIP-Atlas
NR2F1	11372	ChIP-Atlas
NR2F2	13379	ChIP-Atlas
NR2F6	8939	ChIP-Atlas
NR3C1	14980	ChIP-Atlas
NR4A1	5651	ChIP-Atlas
NRF1	12589	ChIP-Atlas
NUFIP1	247	ChIP-Atlas
PATZ1	12711	ChIP-Atlas
PBX2	3074	ChIP-Atlas
PCBP1	8253	ChIP-Atlas
PCBP2	468	ChIP-Atlas
PHB2	266	ChIP-Atlas
PHF20	10050	ChIP-Atlas
PHF21A	10269	ChIP-Atlas
PHF8	13387	ChIP-Atlas
PKNOX1	9279	ChIP-Atlas
PLAG1	5535	ChIP-Atlas
PML	10932	ChIP-Atlas
POU5F1	9583	ChIP-Atlas
PRDM10	12927	ChIP-Atlas
PRMT5	500	ChIP-Atlas
PRPF4	4244	ChIP-Atlas
PTBP1	3077	ChIP-Atlas
PTTG1	68	ChIP-Atlas
PYGO2	5480	ChIP-Atlas
RAD21	16339	ChIP-Atlas
RAD51	4417	ChIP-Atlas
RB1	10754	ChIP-Atlas
RBBP5	12939	ChIP-Atlas
RBFOX2	12616	ChIP-Atlas
RBM14	381	ChIP-Atlas
RBM15	61	ChIP-Atlas
RBM22	8617	ChIP-Atlas
RBM25	13077	ChIP-Atlas
RBM34	226	ChIP-Atlas
RBM39	8626	ChIP-Atlas
RCOR1	11877	ChIP-Atlas
RELA	14565	ChIP-Atlas
REST	14560	ChIP-Atlas
RFX1	5783	ChIP-Atlas
RFX5	8660	ChIP-Atlas
RLF	1288	ChIP-Atlas
RNF2	15007	ChIP-Atlas
RREB1	8026	ChIP-Atlas
RUNX1	16689	ChIP-Atlas
SAFB	3526	ChIP-Atlas
SAFB2	6816	ChIP-Atlas
SAP30	7970	ChIP-Atlas
SETDB1	3210	ChIP-Atlas
SHOX2	215	ChIP-Atlas
SIN3A	14220	ChIP-Atlas
SIN3B	5355	ChIP-Atlas
SIRT6	3932	ChIP-Atlas
SIX5	5169	ChIP-Atlas
SKIL	7410	ChIP-Atlas
SMAD1	11645	ChIP-Atlas
SMAD2	12655	ChIP-Atlas
SMAD3	13425	ChIP-Atlas
SMAD5	9855	ChIP-Atlas
SMARCA4	16862	ChIP-Atlas
SMARCA5	7272	ChIP-Atlas
SMARCB1	12221	ChIP-Atlas
SMARCC2	11448	ChIP-Atlas
SMARCE1	10028	ChIP-Atlas
SMC3	13811	ChIP-Atlas
SNIP1	4639	ChIP-Atlas
SNRNP70	210	ChIP-Atlas
SOX6	11421	ChIP-Atlas
SP1	15375	ChIP-Atlas
SP2	11710	ChIP-Atlas
SPI1	15447	ChIP-Atlas
SREBF1	6951	ChIP-Atlas
SRF	12822	ChIP-Atlas
SRSF1	6319	ChIP-Atlas
SRSF3	2722	ChIP-Atlas
SRSF4	1466	ChIP-Atlas
SRSF7	276	ChIP-Atlas
SRSF9	17	ChIP-Atlas
STAG1	14121	ChIP-Atlas
STAT1	13520	ChIP-Atlas
STAT2	3987	ChIP-Atlas
STAT5A	12997	ChIP-Atlas
SUZ12	14813	ChIP-Atlas
TAF1	14674	ChIP-Atlas
